Deutsch,Präposition,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status
abhängen / abhängig,von + D,وابسته بودن به,to depend on,Unsere Entscheidung hängt von dem Wetter ab.,تصمیم ما به آب و هوا بستگی دارد.,Neutral
die Allergie / allergisch,auf/gegen + A,آلرژی داشتن به,allergy to,Viele Menschen sind allergisch gegen Pollen.,بسیاری از افراد به گرده گل حساسیت دارند.,Neutral
die Alternative / alternativ,zu + D,جایگزین برای,alternative to,Gibt es eine Alternative zu diesem Plan?,آیا جایگزینی برای این طرح وجود دارد؟,Neutral
ändern / die Änderung,an + D,تغییر دادن در,to change something on,Du musst etwas an deiner Einstellung ändern.,تو باید چیزی را در نگرش خود تغییر دهی.,Neutral
anfangen,mit + D,شروع کردن با,to start with,Wir fangen morgen mit dem neuen Projekt an.,ما فردا پروژه جدید را شروع می‌کنیم.,Neutral
die Angst / sich ängstigen,vor + D,ترسیدن از,fear of,Hast du Angst vor Spinnen?,آیا از عنکبوت می‌ترسی؟,Neutral
anmelden / die Anmeldung,bei + D,ثبت نام کردن در/برای,to register with/for,Hast du dich schon bei dem Kurs angemeldet?,آیا در دوره ثبت‌نام کرده‌ای؟,Neutral
anpassen / die Anpassung,an + A,تطبیق دادن با,to adapt to,Man muss sich an die neue Kultur anpassen.,آدم باید خود را با فرهنگ جدید وفق دهد.,Neutral
anrufen / der Anruf,bei + D,تماس گرفتن با,to call someone,Rufst du bitte bei der Firma an?,لطفاً با شرکت تماس می‌گیری؟,Neutral
ansehen / das Ansehen,bei + D,شهرت داشتن نزد,reputation with,Er hat ein hohes Ansehen bei seinen Kollegen.,او نزد همکارانش اعتبار بالایی دارد.,Neutral
antworten / die Antwort,auf + A,پاسخ دادن به,to answer to,Bitte antworte schnell auf meine E-Mail.,لطفاً سریع به ایمیل من پاسخ بده.,Neutral
arbeiten / die Arbeit,an + D,کار کردن روی/در,to work on/at,Wir arbeiten gerade an einer Lösung.,ما در حال کار روی یک راه حل هستیم.,Neutral
sich ärgern / der Ärger,über + A,عصبانی شدن از,to be annoyed about,Ich ärgere mich über die Verspätung.,من از تأخیر عصبانی هستم.,Neutral
sich aufregen / die Aufregung,über + A,هیجان‌زده/عصبانی شدن از,to get upset about,Reg dich nicht über Kleinigkeiten auf!,به خاطر چیزهای کوچک عصبانی نشو!,Neutral
ausgeben / die Ausgabe,für + A,پول خرج کردن برای,to spend on,Sie gibt viel Geld für Kleidung aus.,او پول زیادی برای لباس خرج می‌کند.,Neutral
basieren / basierend,auf + D,مبتنی بودن بر,to be based on,Der Film basiert auf einer wahren Geschichte.,این فیلم بر اساس یک داستان واقعی است.,Neutral
sich bedanken / der Dank,für + A,تشکر کردن برای/از,to thank for/to,Ich möchte mich für deine Hilfe bedanken.,می‌خواهم بابت کمکت تشکر کنم.,Neutral
sich befassen,mit + D,پرداختن به,to deal with,Wir müssen uns mit diesem Thema befassen.,ما باید به این موضوع بپردازیم.,Neutral
sich begeistern / die Begeisterung,für + A,اشتیاق داشتن برای,to be enthusiastic about,Ich kann mich für Fußball nicht begeistern.,من نمی‌توانم به فوتبال علاقه‌مند شوم.,Neutral
beginnen / der Beginn,mit + D,آغاز کردن با,to begin with,Lass uns mit dem Essen beginnen.,بیا غذا خوردن را شروع کنیم.,Neutral
sich beklagen / die Klage,über + A,شکایت کردن از,to complain about,Der Gast beklagt sich über das kalte Essen.,مهمان از غذای سرد شکایت می‌کند.,Neutral
sich bemühen / die Bemühung,um + A,تلاش کردن برای,to strive for,Er bemüht sich um einen neuen Job.,او برای یک شغل جدید تلاش می‌کند.,Neutral
berichten / der Bericht,über + A,گزارش دادن درباره,to report on,Die Zeitung berichtet über den Unfall.,روزنامه درباره تصادف گزارش می‌دهد.,Neutral
sich beschäftigen / die Beschäftigung,mit + D,مشغول بودن با,to be busy with,Sie beschäftigt sich viel mit ihren Pflanzen.,او زیاد مشغول گیاهانش است.,Neutral
sich beschweren / die Beschwerde,über + A,گلایه کردن از,to complain about,Er beschwert sich über den Lärm.,او از سر و صدا شکایت می‌کند.,Neutral
sich bewerben / die Bewerbung,um + A,درخواست کار دادن برای/در,to apply for/at,Sie bewirbt sich um die Stelle als Managerin.,او برای موقعیت مدیر درخواست می‌دهد.,Neutral
sich beziehen / der Bezug,auf + A,اشاره داشتن به,to refer to,Ich beziehe mich auf Ihr Schreiben vom 10. Mai.,من به نامه شما مورخ ۱۰ مه ارجاع می‌دهم.,Neutral
bitten / die Bitte,um + A,خواهش کردن برای,to ask for,Darf ich dich um einen Gefallen bitten?,می‌توانم از تو خواهشی بکنم؟,Neutral
danken / dankbar,für + A,تشکر کردن بابت,to thank for,Ich danke dir für das Geschenk.,من بابت هدیه از تو تشکر می‌کنم.,Neutral
denken / der Gedanke,an + A,فکر کردن به,to think of,Denkst du bitte an den Termin?,لطفاً به فکر قرار ملاقات باش.,Neutral
diskutieren / die Diskussion,über + A,بحث کردن درباره,to discuss about,Wir diskutieren oft über Politik.,ما اغلب درباره سیاست بحث می‌کنیم.,Neutral
einladen / die Einladung,zu + D,دعوت کردن به,to invite to,Ich lade dich zu meinem Geburtstag ein.,من تو را به تولدم دعوت می‌کنم.,Neutral
sich entscheiden / die Entscheidung,für + A,تصمیم گرفتن برای,to decide on,Wir haben uns für dieses Auto entschieden.,ما این ماشین را انتخاب کردیم.,Neutral
sich entschuldigen / die Entschuldigung,für + A,عذرخواهی کردن برای,to apologize for,Er entschuldigt sich für seinen Fehler.,او بابت اشتباهش عذرخواهی می‌کند.,Neutral
sich erholen / die Erholung,von + D,بهبودی یافتن از,to recover from,Sie muss sich von der Krankheit erholen.,او باید از بیماری بهبود یابد.,Red
sich erinnern / die Erinnerung,an + A,به یاد آوردن,to remember,Ich erinnere mich gern an den Urlaub.,من با خوشحالی تعطیلات را به یاد می‌آورم.,Neutral
sich erkundigen,nach + D,پرس و جو کردن درباره,to inquire about,Ich habe mich nach dem Preis erkundigt.,من درباره قیمت پرس و جو کردم.,Neutral
fragen / die Frage,nach + D,پرسیدن درباره,to ask about,Ein Tourist fragt nach dem Weg.,یک توریست آدرس را می‌پرسد.,Neutral
sich freuen (Zukunft),auf + A,منتظر بودن (با خوشحالی),to look forward to,Ich freue mich auf das Wochenende.,من بی‌صبرانه منتظر آخر هفته هستم.,Neutral
sich freuen (Gegenwart),über + A,خوشحال بودن از,to be happy about,Ich habe mich sehr über das Geschenk gefreut.,من از هدیه بسیار خوشحال شدم.,Neutral
sich gewöhnen / die Gewöhnung,an + A,عادت کردن به,to get used to,Ich muss mich erst an das Klima gewöhnen.,من باید اول به آب و هوا عادت کنم.,Neutral
glauben / der Glaube,an + A,باور داشتن به,to believe in,Glaubst du an Wunder?,آیا به معجزه اعتقاد داری؟,Neutral
gratulieren / die Gratulation,zu + D,تبریک گفتن برای,to congratulate on,Ich gratuliere dir zum Geburtstag.,تولدت را تبریک می‌گویم.,Neutral
hoffen / die Hoffnung,auf + A,امید داشتن به,to hope for,Wir hoffen auf besseres Wetter.,ما به هوای بهتر امید داریم.,Neutral
sich interessieren / das Interesse,für + A,علاقه داشتن به,to be interested in,Interessierst du dich für Kunst?,آیا به هنر علاقه داری؟,Neutral
passen / passend,zu + D,مناسب بودن برای,to fit with,Die Krawatte passt gut zu dem Hemd.,کراوات به خوبی با پیراهن ست است.,Neutral
reden / die Rede,über + A,حرف زدن درباره,to talk about,Wir haben lange über das Problem geredet.,ما مدت طولانی درباره مشکل حرف زدیم.,Neutral
sich sorgen / die Sorge,um + A,نگران بودن برای,to worry about,Die Mutter sorgt sich um ihr krankes Kind.,مادر نگران کودک بیمارش است.,Red
sprechen / das Gespräch,mit + D,صحبت کردن درباره/با,to speak about/with,Kann ich kurz mit dir sprechen?,می‌توانم کوتاه با تو صحبت کنم,Neutral
sterben,an + D,مردن بر اثر,to die of,Leider sterben viele Menschen an dieser Krankheit.,متأسفانه افراد زیادی بر اثر این بیماری می‌میرند.,Neutral
sich streiten / der Streit,über + A,دعوا کردن سرِ,to argue about,Die Kinder streiten sich über das Spielzeug.,بچه‌ها سر اسباب‌بازی دعوا می‌کنند.,Neutral
teilnehmen / die Teilnahme,an + D,شرکت کردن در,to participate in,Nimmst du an der Besprechung teil?,آیا در جلسه شرکت می‌کنی؟,Neutral
telefonieren / das Telefonat,mit + D,تلفنی صحبت کردن با,to talk on the phone with,Ich telefoniere gerade mit meiner Mutter.,من دارم با مادرم تلفنی صحبت می‌کنم.,Neutral
träumen / der Traum,von + D,رویا دیدن درباره,to dream of,Ich träume von einem Haus am Meer.,من رویای خانه‌ای در کنار دریا را دارم.,Neutral
sich treffen / das Treffen,mit + D,ملاقات کردن با,to meet with,Ich treffe mich heute mit Freunden.,من امروز با دوستان ملاقات می‌کنم.,Neutral
sich überzeugen / überzeugt,von + D,متقاعد شدن از,to be convinced of,Ich bin von seiner Unschuld überzeugt.,من به بی‌گناهی او اطمینان دارم.,Neutral
sich unterhalten / die Unterhaltung,über + A,گفتگو کردن درباره,to chat about,Wir haben uns über den Film unterhalten.,ما درباره فیلم گفتگو کردیم.,Neutral
sich verabreden / die Verabredung,mit + D,قرار گذاشتن با,to make an appointment with,Ich bin mit ihm zum Essen verabredet.,من با او برای شام قرار دارم.,Neutral
verantwortlich / die Verantwortung,für + A,مسئول بودن برای,responsible for,Wer ist für dieses Projekt verantwortlich?,چه کسی مسئول این پروژه است؟,Neutral
vergleichen / der Vergleich,mit + D,مقایسه کردن با,to compare with,Man kann Äpfel nicht mit Birnen vergleichen.,نمی‌توان سیب را با گلابی مقایسه کرد.,Neutral
sich verlieben / verliebt,in + A,عاشق شدن در,to fall in love with,Sie hat sich in ihren Kollegen verliebt.,او عاشق همکارش شده است.,Neutral
sich vorbereiten / die Vorbereitung,auf + A,آماده شدن برای,to prepare for,Er bereitet sich auf die Prüfung vor.,او خود را برای امتحان آماده می‌کند.,Neutral
warten,auf + A,منتظر ماندن برای,to wait for,Wir warten auf den Bus.,ما منتظر اتوبوس هستیم.,Neutral
sich wundern / die Verwunderung,über + A,تعجب کردن از,to wonder about,Ich wundere mich über seine Reaktion.,من از واکنش او تعجب می‌کنم.,Neutral
zufrieden / die Zufriedenheit,mit + D,راضی بودن از,satisfied with,Bist du mit dem Ergebnis zufrieden?,آیا از نتیجه راضی هستی؟,Neutral
zweifeln / der Zweifel,an + D,شک داشتن به,to doubt,Ich zweifle an seiner Ehrlichkeit.,من به صداقت او شک دارم.,Neutral
